person_id,political_party,source,description,value
497,d,Jay Viock and Gail Brekke {personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (July 26, 2017)",$490.00
497,d,Jay Viock & Gail Brekke,"Tickers for two to baseball game and luncheon at Yankees Stadium, New York",$500.00
497,d,Michael Viock & Karen Pritzker,Flight via private plane to Bermuda for visit at private home,$845.00
497,d,General Counsel of Goya Foods (personal hospitality),2015),
497,d,Jay Vieck and Gail Brekke {personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (May 28, 2018)",$500.00
497,d,Michael Viock & Karen Pritzker (personal hospitality),"Fhght via private plane to Bermuda for visit at private home (July 8-10, 2016)",$845.00
497,d,Jay Vieck and Gail Brekke (personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (August 27, 2016)",$490.00
497,d,The Board of Trustees to each of his Board colleagues,,
497,d,Jay Vieck & Gail Brekke: Michael Viock,Tickets to N.Y. Yankees game,$600.00
488,r,,,Hand-crafted book 
488,r,Law clerks and former law clerks,Painting in honor of 15th anniversary on the court,"$1,350.00"
488,r,"Victoria Schwartz, Philip Scarborough Zachary Rawling, Mark Kressel","Apple iPod Touch, carrying case, music gifi card",$359.00
488,r,"Latham & Watkins, LLP",Legal Services,"$60,074.00"
488,r,"Latham & Watkins, LLP",Legal Services,"$2,507,274.00"
488,r,Davis Polk & Wardwell,Legal Services,"$71,129.43"
488,r,The Wolf Group,Consulting Services,"$40,000.00"
488,r,Geoffrey llazard,Legal Services,"$9,600.00"
488,r,"Latham & Watkins, LLP",Legal Services,"$2,983.00"
488,r,The Wolf Group,Consulting Services,"$20,000.00"
488,r,"Davis, Polk & Wardwell LLP",Legal Services,"$5,350.00"
488,r,"Latham & Watkins, LLP",Legal Services,"$678,310.08"
488,r,"Latham & Watkins, LLP",Legal Services,"$2,953.00"
477,d,US. District Court {District of Massachusetts),Contribution toward cost of reception on occasion of mvestiture,"$2,000.00"
477,d,"Nutter, McClennen & Fish LLP",Conmbution toward cost of reception on occasion of mvestiture,"$3,000.00"
471,r,Southwestern Yacht Club,Honorary Membership (Dues and Various Privileges),
471,r,Southwestem Yacht Club,Honorary Membership (Dues and Various Privileges),
471,r,Productions (On the Case With Pauls Zahn),documentary,
461,r,Troy and Jody Mizell,"One-way airplane accommodations from Greenville, SC to Cincinnati, OH for three family members on September 28, 2018.",$525
445,r,,FHI RRT RASA Y,
431,r,Mountain Oyster Club,Honorary Mémbership,
431,r,Mountain Oyster Club,Honorary Membership,
431,r,Mountain Oyster Club,‘Honorary Membership,
429,d,Olympic Club,Honorary Membership (dues),
428,d,,AAA SEAWAY TRAE RN,
418,d,"Washington County, MS, Board of Supervisors",Use of Washington County Convention Center for investiture ceremony,"$1,700.00"
418,d,Investiture Committee,"Gavel with Sound Block - executive, engraved",$800.00
418,d,"County, Bolivar County, Leflore County and Coghoma County, MS",,
418,d,"County, Bolivar County, Leflore County and Cohoma County, MS",,
418,d,Investiture Committee,"Investiture ceremony nvitahons, decorations and food","$2,900.00"
403,d,Federal Bar Council,Bar association,"$2,060.00"
385,d,John S. McGeeney,Ticket to U.S. Open tennis tournament,$425.00
358,r,White Construction Co.,"Entry fee, shirt, shoes, hat, sleeve of balls, lunch & dinner (cont. on pg 6)",$335.00
352,r,SMU Dedman School of Law-lnn of Court Program,SMU basketball tickets,$500.00
352,r,SMU Dedman School of Law-lnn of Court Program,SMU basketball tickets,$500.00
352,r,SMU Dedman School of Law-lnn of Court Program,SMU basketball tickets,$500.00
349,r,Chad Brenner,7 nights at Florida Condo (July 21 -27),
349,r,Chad Brenner,7 nights at Florida Condo (July 21 -27),
322,d,Sam Anderson,T'wo nights hotel and meals to officate at wedding.,"$1,000.00"
320,d,"From Childhood Home in Medford, New York)",,
317,r,"Bant One Wi mington, D3 em",Crecit Card Loan,
317,r,"American Zxpress Ootima Chicago, I.",Crect Care Loan for Zducation,X
317,r,"(hase Wi mington, 73",Crecit Carc Loan,4 [S
295,r,Foundation for Research on Economics & the Enrironment (FREE) Conference,"Terrorism, Civil Liberty & National Security",$959.00
285,d,Allegheny County Bar Association,Printing of invitations and programs and postage for installation ceremony,$634.19
268,r,Frank D'Angelo,"Dinner for Judge and Spouse on March 26, 2016, and Novembe 20, 2016",$300.00
268,r,Frank D'Angelo,Golf Outing and Dinner for Judge and Dinner for Spouse on July 11 2016;,$650.00
268,r,Deidre Conneely,New York Islanders Tickets,$375.00
268,r,The Dunphy Family,"Two New York Jets Tickets and Parking for July 20, 2015 Game",$545.00
268,r,John's University,"Four St, John's Basketball Tickets for February 28, 2015 Game",$400.00
268,r,St Peter of Alcantara Church,Winner of Raffle at Parish Event,"$2,800.00"
259,d,Just the Beginning Foundation,"food, lodgmg, local transportation",$396.50
235,r,2008 Honorary membership**,Seattle Tennis Club,$0.00
235,r,2008 Honorary membership**,"The Harbor Club, Seattle, WA",$0.00
235,r,2008 Honorary membership**,"The Rainier Club, Seattle, WA",$0.00
235,r,2005 Honorary membership**,"The Harbor Club, Seattle, WA",500
235,r,2005 Honorary membership**,"The Rainier Club, Seattle, WA",$0.00
222,d,Law Clerk Committee,Donation for Judge's Portrant and Public Reception for Portrait Unveiling,$8211.02
213,r,Neubauer,Charity Dinner,$700.00
213,r,Goldblum,Charity Dinner,$7100.00
204,r,Bill and Valerie Needle,"Reduced weekly rental of house in Isle of Palms, S.C.","$2,000.00"
204,r,Doug Craft,Quail hunting trip in January,$925.00
204,r,Steve Witmer,Quail hunting trip in January,$925.00
204,r,Doug Craft,Quail hunting trip in January,$600.00
204,r,Steve Witmer,Quail hunting trip in January,$600.00
204,r,Monte Johnson,Quail hunting trip in January,$600.00
204,r,Monte Johnson,Quail hunting trip in January,$600.00
204,r,Steve Witmer,Quail hunting trip in January,$600.00
204,r,Doug Craft,Quail hunting trip in January,$600.00
204,r,Doug Craft,"Quail hunting trip in Norman Park, GA, January 15-17, 2012","$1,800.00"
204,r,Doug Craft,"Quail hunting trip in Norman Park, GA, January 16-18, 2011","$1,800.00"
204,r,Bill and Valerie Needle,"Reduced weekly rental of house in Isle of Palms, S.C","$2,000.00"
197,d,"Jeffers, Danielson, Sonn & Aylward, PS.",partial cost of reception « Investiture Ceremony mn June 2014,"$2,500.00"
196,r,COLL TRUST/ESTATE COUNSEL,MEMBERSHIP FEE (SEE SECT.vUD),
196,r,COLL.TRUST/ESTATE COUNSEL,MEMBERSHIP FEE (SEE SECT. VIII),
196,r,MEMBERSHIP FEE (SEE SECT. VI),AM. COLL.TRUST/ESTATE COUNSEL,
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$383.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$383.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$ 365
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$365
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$381.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$381.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$381.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$381.00
191,r,The Philadelphia Bar Association,Membership (extended to all judges),$381.00
187,d,,,Catering for formal investiture
174,r,Univ. of Miss. School of Law,Hotel and meals,$400.00
170,r,Donations from persons who have worked directly with Judge (current & former clerks & staff),"35th Anniversry celebration (reception, food, flowers, after-party & engraved watch)","$1,211.00"
170,r,"Indiana Historical Society, Living Legends Award",Dinner and programiiii@e si BH EEITEE ie,"$3,500.00"
170,r,Becky and Charles Kendall,"Personal hospitality and lodging, Florida","$1,400.00"
170,r,Indiana Histocical Society,"""Living Ligeads® annual reception and dinner to honor outstanding Hoosiers",
170,r,Larry Rudolech,Painting gifted by artist in connection with other painting purchase,$400.00
170,r,"Susman Godfrey, LLP","Pro bono legal services from 11/2012-12/2013,","$26,658.91"
170,r,Larry Rudolech,T'wo pamtings gifted by artist im connection with other purchases,"$1,000.00"
170,r,"Susman Godfrey, LLP","Pro bono legal services from 01/01/2014 « 12/31/2014. See note: Part VIII, #1.","$6,466.00"
148,r,"Coach Bill Stewrat, West Virginia University",Sideline pass - football,$600.00
148,r,"Beyond Marketing, Inc",Event tickets,"$1,000.00"
148,r,"Beyond Marketing, Inc",Event tickets,"$1,000.00"
148,r,"Beyond Marketing, Inc",Event tickets,"$1,000.00"
148,r,Beyond Marketing,Jamboree in the Hills ncket,$500.00
148,r,Beyond Marketing,Jamboree in the Hills nckets,"$1,000.00"
148,r,"Beyond Marketing, Inc",Event Tickets,$500.00
143,r,North East Mississippi Women Lawyers,Reception after confirmation given in my honor attended by approximately 25 persons,
143,r,Recipient of the Susie Blue Buchanan Award,Hotel stay for two nights plus two tickets to the Price-Prather Luncheon,$670.00
137,d,"(Section V, Note 1)",See Section VIII,$0.0
137,d,(Section V Note 1),See Section VIII,$0.00
137,d,(Section V Note 1),See Section VIII,$0.00
137,d,(Section V Note 1),See Section VIII,$0.00
137,d,(Section V Note ),See Section VII,$99.00
137,d,(Section V Note ),See Section VII,$99.00
137,d,"(Section V, Note 1)",See Section VII,$99.00
137,d,(Section V Note ),See Section VII,$99.00
137,d,(Section V Note ),See Section VII,$99.00
137,d,(Section V Note ),See Section VII,$00.00
137,d,(Section V Note ),See Section VII,$99.00
126,r,Pacific School of Religion,Presidential Scholarship,"$11,833.50"
126,r,Payne Theological Seminary,Scholarship/Grant,"$6,567.00"
126,r,Pacific School of Religion,Presidential Ment Scholarship,"$10,807.00"
126,r,Pacific School of Religion,Presidential Merit Scholarship,"$5,000.00"
123,r,Umversaty of Colorado,Reduced price for two Club Seat Football Tickets,"$2,900.00"
123,r,Unversity of Colorado,Reduced price for two Club Seat Football Tickets,"$4,600.00"
123,r,Colorado Hispanic Bar Association,Judge's Robe and reception following my investiture,"$5,123.74"
123,r,University of Colorado,Reduced pricz for two Club Seat Football Tickets,4600.00
123,r,University of Colorado,Reduced price for two Club Seat Football Tickets,"$4,600.00"
123,r,Colorado Rockies,"10 tickets in stands, 2 tickets in suite","$1,000.00"
123,r,Mano Carrera,2 Bronco Tickets,$600.00
123,r,Umversaty of Colorado,Reduced price for two Club Seat Football Tickets,"$4,600.00"
123,r,Umversaty of Colorado,Reduced price for two Club Seat Football Tickets,"$4,600.00"
123,r,Sam Walker,2 Bronco Tickets,$600.00
123,r,Mano Carrera,2 Bronco Tickets,$600.00
114,r,"Wingert, Grebing, Brubaker & Good win Law Firm",Contribution toward cost of reception following investiture ceremony,"$5,500.00"
107,d,2.,my taking scnior status (and 30 yrs. scrvice on the court). Anonymous contributions,
107,d,"3,",created a $2000 gift presented to me on the 2-09 occasion to encourage an Alaskan,
107,d,Law Clerks,Judicial Ass't and Retired Judicial Ass't organized a law clerk reunion to celebrate,"$2,000.00"
97,r,New York Intellectual Property Law Association,"Dinner - May 6, 2016",$500.00
97,r,Federal Bar Council,"Law Day Dinner - May 3, 2016",$500.00
97,r,Comor Inn of Court,"Dinner - January 18, 2017",$400.00
97,r,Federal Bar Council,"Dinner - May 9, 2017",$500.00
97,r,Nassau County Bar Association,Dinner - $9/15,$800.00
97,r,New York Intellectual Property Law Association,Dinner - 3/2718,$500.00
97,r,Federal Bar Council,Law Day Dimer - 5/5/15,$500.00
77,r,Vincent Kickerillo,Itahan food and wane,
77,r,Federal Bar Council,[Leamed Hand Award Medallion,"$2,408.95"
77,r,Medal of Honor Society,Patriot Award,$4931.00
77,r,Yale Law School,Award of Merit,$530.00
77,r,Bottega Mortet,Bronze Cast of Hand,"$3,000.00"
64,r,Kent Greenawalt,Food/lodgimg for wedding event,"$3,500.00"
58,r,West Publishing ee —————————————————,Federal Supp. ey ce ——————————— it,
44,d,Cherry Blossom Bridal,Wedding Dress,$750.00
1971,r,Intellectual Property Owners Educati onal Foundation,linner for GEIR me when I was bonored,"$1,250.00"
1958,d,"Conrad Harper, Esq. (retired)",8- and 3-volume used sets of History of the SCT & of History of st Federal Congress,"$1,650.00"
1944,d,"Gould Law School, Univ of So. California",Transportation and Meals for my wife on visit to law school,$440.91
1944,d,Present Law Clerks,Global Positioning System - holiday gift,$155.00
1944,d,Former Law Clerks,Briefcase - 10th Anniversary on Bench,$300.00
1944,d,The Boston Red Sox,Tickets (4) to a Red Sox Game,
1942,d,Meridian International,Tickets to the Meridian Ball,$420.00
1942,d,New York Intellectual Property Law Association,Steuben Glass Distinguished Service Award,"$1,245.00"
1942,d,William C. Conner American Inn of Court,"Glass Eagle Award, with Pedastal",$800.00
1942,d,American Intellectual Property Law Association,"Glass Obelisk, with Pedestal",$495.00
1942,d,American Bar Associaton,Mark Banner Award Glass Plaque,$595.00
1942,d,Richard Linn American Inn of Court,Presentation Binder and Book for Letters of Recommendation for ABA Award,"$1,701.00"
1942,d,Intellectual Property Law Association of Chicago,ltahan Lead Crystal Vase Award,$771.61
1936,r,Canlad ). Revo,Cash gift opon the sale of his sxcre=xinl acnupavy by which 1 was anployed 1935 68.,
1933,r,Bill Franz,Food and Wine,"$1,000.00"
1922,d,"James M, Wagstaffe, Esq.",Practice Guide: Federal Civil Procedure Before Trial - See VIII Additional Info,$100.00
1911,r,"University Club of Washington, D.C",Honorary Membership (dues),"$2,100.00"
1896,d,"The Niagara Foundation (Chicago, IL)","Hotels, transportation, meals, site visit and miscellaneous","$2,000.00"
1896,d,Joy Cunningham,Two tickets to dinner and reception,
1895,d,Northampton County Bar Association,Membership Dues/Reception,$470.00
1895,d,Northampton County Bar Association,Membership Dues/Reception,$460.00
1895,d,Northampton County Bar Association,Membership Dues/Reception,$560.00
1895,d,Northampton County Bar Association,Membership Dues/Reception,$560.00
1895,d,Northampton County Bar Association,Membership Dues/Reception,$8540.00
1884,r,"BLD Leasing, Inc",Tickets to Trai} Blazer Basketball Game,$900.00
1874,d,Emmet Denha,Weekend stay at his house in Florida and golf,$700.00
1874,d,Emmet Denha,Weekend stay at his house in Florida and golf,
1865,d,Dana Di Carlo,"Private and commercial flights, entertainment. (Lodging was personal hostpitality.)","$4,525.00"
1865,d,Dana DiCarlo and Scott Plank,"Rent on shared vacation house, one week","$1,500.00"
1865,d,Dana DiCarlo and Scott Plank,Weekend trip: food and lodging,"$4,500.00"
1865,d,Dana DiCarlo and Scott Plank,"Weekend trip, personal consultation, meals","$7,850.00"
1865,d,Dana Di Carlo,"Train, hotel, and meals","$1,895.00"
1865,d,Dana Di Carlo,"Private and commercial flights, entertainment. (Lodging was personal hostpitality.)","$2,500.00"
1865,d,Dana DiCarlo and Scott Plank,Roundtrip transportation for family for week stay at friends” residence,"$5,800.00"
1865,d,Dana DhCarlo,Weekend trip for farmly: lodging and entertainment,"$3,000.00"
1865,d,Dana DiCarlo,"One night hotel stay for judge, meals, private hight one-way, car service","$1,300.00"
1865,d,Dana DiCarlo,"One night hotel stay for judge, meals, Broadway ticket, roundtrip train","$1,800.00"
1865,d,Dana DiCarlo,"Family Thanksgiving trip, lodging and entertainment, private and commercial flights","$3,000.00"
1865,d,Dana DhCarlo,"Transportation for family trip: air fare, tour van, tram","$1,800.00"
1865,d,Dana DhCarlo,"Week at beach house for family with lodging, entertainment, and local travel","$6,000.00"
1858,r,"Ossian Airways, Inc. (Philip Saunders. principal) (friend)","1-way flight on private plane for filer & spouse from Naples, FL to Roch, NY in 4/17",$100.00
1838,r,PONCE MUSEUM OF ART,TICKETS TO GALA NIGHT,
1838,r,PONCE MUSEUM OF ART,TICKETS TO GALA NIGHT,
1838,r,PONCE MUSEUM OF ART,TICKETS TO GALA NIGHT,
1833,r,Minneapolis Club,Honorary Membership (est. dues),
1833,r,Honorary Membership (est. dues),Minneapolis Club,
1833,r,Minneapolis Club*,Honorary Membership (est. dues),$2412.00
1833,r,Honorary Membership (est. dues),Minneapolis Club,
1833,r,Minneapolis Club,Honorary Membership (est. dues,
